seed,category,count,denominator,rate
42,correct_fine,97,spatial_matches,0.43891402714932126
42,within_material_confusion,51,spatial_matches,0.23076923076923078
42,cross_material_confusion,73,spatial_matches,0.33031674208144796
42,localization_failure,11,test_predictions,0.03594771241830065
42,duplicate_detection,32,test_predictions,0.10457516339869281
42,background_false_positive,42,test_predictions,0.13725490196078433
42,missed_detection,416,test_instances,0.6530612244897959
42,semantic_confusion_among_matches,124,spatial_matches,0.5610859728506787
123,correct_fine,106,spatial_matches,0.4380165289256198
123,within_material_confusion,57,spatial_matches,0.23553719008264462
123,cross_material_confusion,79,spatial_matches,0.32644628099173556
123,localization_failure,16,test_predictions,0.04597701149425287
123,duplicate_detection,42,test_predictions,0.1206896551724138
123,background_false_positive,48,test_predictions,0.13793103448275862
123,missed_detection,395,test_instances,0.6200941915227629
123,semantic_confusion_among_matches,136,spatial_matches,0.5619834710743802
2026,correct_fine,97,spatial_matches,0.41452991452991456
2026,within_material_confusion,52,spatial_matches,0.2222222222222222
2026,cross_material_confusion,85,spatial_matches,0.36324786324786323
2026,localization_failure,22,test_predictions,0.06179775280898876
2026,duplicate_detection,48,test_predictions,0.1348314606741573
2026,background_false_positive,52,test_predictions,0.14606741573033707
2026,missed_detection,403,test_instances,0.6326530612244898
2026,semantic_confusion_among_matches,137,spatial_matches,0.5854700854700855
